date,hour,energy_system,price_max,price_min
2019-12-03,5,Бурштинський острів,1102.9765,671.377
2019-12-03,5,ОЕС України,652.2915,397.047
2019-12-03,6,Бурштинський острів,1102.9765,671.377
2019-12-03,6,ОЕС України,652.2915,397.047
2019-12-03,7,Бурштинський острів,1102.9765,671.377
2019-12-03,7,ОЕС України,655.569,399.042
2019-12-03,8,Бурштинський острів,2190.359,1333.262
2019-12-03,8,ОЕС України,1437.5,875
2019-12-03,9,Бурштинський острів,2190.359,1333.262
2019-12-03,9,ОЕС України,1577.294,960.092
2019-12-03,10,Бурштинський острів,2190.359,1333.262
2019-12-03,10,ОЕС України,1452.45,884.1
2019-12-03,11,Бурштинський острів,2190.359,1333.262
2019-12-03,11,ОЕС України,1298.35,790.3
2019-12-03,12,Бурштинський острів,2190.359,1333.262
2019-12-03,12,ОЕС України,1148.85,699.3
2019-12-03,13,Бурштинський острів,1827.35,1112.3
2019-12-03,13,ОЕС України,1389.775,845.95
2019-12-03,14,Бурштинський острів,1829.65,1113.7
2019-12-03,14,ОЕС України,1513.055,920.99
2019-12-03,15,Бурштинський острів,2190.359,1333.262
2019-12-03,15,ОЕС України,1402.425,853.65
2019-12-03,16,Бурштинський острів,2190.359,1333.262
2019-12-03,16,ОЕС України,1436.35,874.3
2019-12-03,17,Бурштинський острів,2190.359,1333.262
2019-12-03,17,ОЕС України,1559.8255,949.459
2019-12-03,18,Бурштинський острів,2190.359,1333.262
2019-12-03,18,ОЕС України,1436.35,874.3
2019-12-03,19,Бурштинський острів,2190.359,1333.262
2019-12-03,19,ОЕС України,1385.175,843.15
2019-12-03,20,Бурштинський острів,2190.359,1333.262
2019-12-03,20,ОЕС України,1493.85,909.3
2019-12-03,21,Бурштинський острів,2190.359,1333.262
2019-12-03,21,ОЕС України,1585.85,965.3
2019-12-03,22,Бурштинський острів,1725,1050
2019-12-03,22,ОЕС України,1436.35,874.3
2019-12-03,23,Бурштинський острів,1102.9765,671.377
2019-12-03,23,ОЕС України,652.2915,397.047
2019-12-03,24,Бурштинський острів,1102.9765,671.377
2019-12-03,24,ОЕС України,652.2915,397.047
2019-12-04,0,Бурштинський острів,1102.9765,671.377
2019-12-04,0,ОЕС України,652.2915,397.047
2019-12-04,1,Бурштинський острів,1102.9765,671.377
2019-12-04,1,ОЕС України,652.2915,397.047
2019-12-04,2,Бурштинський острів,1102.9765,671.377
2019-12-04,2,ОЕС України,652.2915,397.047
2019-12-04,3,Бурштинський острів,1102.9765,671.377
2019-12-04,3,ОЕС України,652.2915,397.047
2019-12-04,4,Бурштинський острів,1102.9765,671.377
2019-12-04,4,ОЕС України,652.2915,397.047
2019-12-04,5,Бурштинський острів,1102.9765,671.377
2019-12-04,5,ОЕС України,652.2915,397.047
2019-12-04,6,Бурштинський острів,1102.9765,671.377
2019-12-04,6,ОЕС України,652.2915,397.047
2019-12-04,7,Бурштинський острів,1102.9765,671.377
2019-12-04,7,ОЕС України,655.569,399.042
2019-12-04,8,Бурштинський острів,2355.4645,1433.761
2019-12-04,8,ОЕС України,1148.85,699.3
2019-12-04,9,Бурштинський острів,2355.4645,1433.761
2019-12-04,9,ОЕС України,1125.85,685.3
2019-12-04,10,Бурштинський острів,2355.4645,1433.761
2019-12-04,10,ОЕС України,1091.35,664.3
2019-12-04,11,Бурштинський острів,2093,1274
2019-12-04,11,ОЕС України,918.85,559.3
2019-12-04,12,Бурштинський острів,1990.65,1211.7
2019-12-04,12,ОЕС України,918.85,559.3
2019-12-04,13,Бурштинський острів,2001,1218
2019-12-04,13,ОЕС України,1091.35,664.3
2019-12-04,14,Бурштинський острів,2190.359,1333.262
2019-12-04,14,ОЕС України,1125.85,685.3
2019-12-04,15,Бурштинський острів,2040.1,1241.8
2019-12-04,15,ОЕС України,1298.35,790.3
2019-12-04,16,Бурштинський острів,2190.359,1333.262
2019-12-04,16,ОЕС України,1148.85,699.3
2019-12-04,17,Бурштинський острів,2355.4645,1433.761
2019-12-04,17,ОЕС України,1298.35,790.3
2019-12-04,18,Бурштинський острів,2355.4645,1433.761
2019-12-04,18,ОЕС України,1298.35,790.3
2019-12-04,19,Бурштинський острів,2355.4645,1433.761
2019-12-04,19,ОЕС України,1148.85,699.3
2019-12-04,20,Бурштинський острів,2355.4645,1433.761
2019-12-04,20,ОЕС України,1148.85,699.3
2019-12-04,21,Бурштинський острів,2190.359,1333.262
2019-12-04,21,ОЕС України,1125.85,685.3
2019-12-04,22,Бурштинський острів,1882.021,1145.578
2019-12-04,22,ОЕС України,1437.5,875
2019-12-04,23,Бурштинський острів,1102.9765,671.377
2019-12-04,23,ОЕС України,652.2915,397.047
2019-12-04,24,Бурштинський острів,1102.9765,671.377
2019-12-04,24,ОЕС України,652.2915,397.047
2019-12-05,0,Бурштинський острів,1102.9765,671.377
2019-12-05,0,ОЕС України,652.2915,397.047
2019-12-05,1,Бурштинський острів,1102.9765,671.377
2019-12-05,1,ОЕС України,652.2915,397.047
2019-12-05,2,Бурштинський острів,1102.9765,671.377
2019-12-05,2,ОЕС України,652.2915,397.047
2019-12-05,3,Бурштинський острів,1102.9765,671.377
2019-12-05,3,ОЕС України,652.2915,397.047
2019-12-05,4,Бурштинський острів,1102.9765,671.377
2019-12-05,4,ОЕС України,652.2915,397.047
2019-12-05,5,Бурштинський острів,1102.9765,671.377
2019-12-05,5,ОЕС України,652.2915,397.047
2019-12-05,6,Бурштинський острів,1102.9765,671.377
2019-12-05,6,ОЕС України,652.2915,397.047
2019-12-05,7,Бурштинський острів,1102.9765,671.377
2019-12-05,7,ОЕС України,655.569,399.042
2019-12-05,8,Бурштинський острів,2355.4645,1433.761
2019-12-05,8,ОЕС України,1298.35,790.3
2019-12-05,9,Бурштинський острів,2355.4645,1433.761
2019-12-05,9,ОЕС України,1293.75,787.5
2019-12-05,10,Бурштинський острів,2355.4645,1433.761
2019-12-05,10,ОЕС України,1293.75,787.5
2019-12-05,11,Бурштинський острів,2190.359,1333.262
2019-12-05,11,ОЕС України,1293.75,787.5
2019-12-05,12,Бурштинський острів,2190.359,1333.262
2019-12-05,12,ОЕС України,1293.75,787.5
2019-12-05,13,Бурштинський острів,2190.359,1333.262
2019-12-05,13,ОЕС України,1293.75,787.5
2019-12-05,14,Бурштинський острів,2190.359,1333.262
2019-12-05,14,ОЕС України,1293.75,787.5
2019-12-05,15,Бурштинський острів,2190.359,1333.262
2019-12-05,15,ОЕС України,1293.75,787.5
2019-12-05,16,Бурштинський острів,2190.359,1333.262
2019-12-05,16,ОЕС України,1293.75,787.5
2019-12-05,17,Бурштинський острів,2355.4645,1433.761
2019-12-05,17,ОЕС України,1293.75,787.5
2019-12-05,18,Бурштинський острів,2355.4645,1433.761
2019-12-05,18,ОЕС України,1293.75,787.5
2019-12-05,19,Бурштинський острів,2355.4645,1433.761
2019-12-05,19,ОЕС України,1293.75,787.5
2019-12-05,20,Бурштинський острів,2190.359,1333.262
2019-12-05,20,ОЕС України,1293.75,787.5
2019-12-05,21,Бурштинський острів,1943.5,1183
2019-12-05,21,ОЕС України,1293.75,787.5
2019-12-05,22,Бурштинський острів,1882.021,1145.578
2019-12-05,22,ОЕС України,1293.75,787.5
2019-12-05,23,Бурштинський острів,1102.9765,671.377
2019-12-05,23,ОЕС України,652.2915,397.047
2019-12-05,24,Бурштинський острів,1102.9765,671.377
2019-12-05,24,ОЕС України,652.2915,397.047
2019-12-06,0,Бурштинський острів,1102.98,671.38
2019-12-06,0,ОЕС України,652.29,397.05
2019-12-06,1,Бурштинський острів,1102.98,671.38
2019-12-06,1,ОЕС України,652.29,397.05
2019-12-06,2,Бурштинський острів,1102.98,671.38
2019-12-06,2,ОЕС України,652.29,397.05
2019-12-06,3,Бурштинський острів,1102.98,671.38
2019-12-06,3,ОЕС України,652.29,397.05
2019-12-06,4,Бурштинський острів,1102.98,671.38
2019-12-06,4,ОЕС України,652.29,397.05
2019-12-06,5,Бурштинський острів,1102.98,671.38
2019-12-06,5,ОЕС України,652.29,397.05
2019-12-06,6,Бурштинський острів,1102.98,671.38
2019-12-06,6,ОЕС України,652.29,397.05
2019-12-06,7,Бурштинський острів,1102.98,671.38
2019-12-06,7,ОЕС України,937.48,570.64
2019-12-06,8,Бурштинський острів,1995.25,1214.5
2019-12-06,8,ОЕС України,1430.6,870.8
2019-12-06,9,Бурштинський острів,2012.5,1225
2019-12-06,9,ОЕС України,1449,882
2019-12-06,10,Бурштинський острів,2002.15,1218.7
2019-12-06,10,ОЕС України,1436.35,874.3
2019-12-06,11,Бурштинський острів,1882.02,1145.58
2019-12-06,11,ОЕС України,1150,700
2019-12-06,12,Бурштинський острів,1882.02,1145.58
2019-12-06,12,ОЕС України,918.85,559.3
2019-12-06,13,Бурштинський острів,1882.02,1145.58
2019-12-06,13,ОЕС України,1316.51,801.35
2019-12-06,14,Бурштинський острів,1882.02,1145.58
2019-12-06,14,ОЕС України,1252.35,762.3
2019-12-06,15,Бурштинський острів,1882.02,1145.58
2019-12-06,15,ОЕС України,1252.35,762.3
2019-12-06,16,Бурштинський острів,1882.02,1145.58
2019-12-06,16,ОЕС України,1265,770
2019-12-06,17,Бурштинський острів,2038.95,1241.1
2019-12-06,17,ОЕС України,1286.85,783.3
2019-12-06,18,Бурштинський острів,2190.36,1333.26
2019-12-06,18,ОЕС України,1265,770
2019-12-06,19,Бурштинський острів,2068.85,1259.3
2019-12-06,19,ОЕС України,1252.35,762.3
2019-12-06,20,Бурштинський острів,1882.02,1145.58
2019-12-06,20,ОЕС України,1252.35,762.3
2019-12-06,21,Бурштинський острів,1882.02,1145.58
2019-12-06,21,ОЕС України,1286.85,783.3
2019-12-06,22,Бурштинський острів,1882.02,1145.58
2019-12-06,22,ОЕС України,918.85,559.3
2019-12-06,23,Бурштинський острів,1102.98,671.38
2019-12-06,23,ОЕС України,652.29,397.05
2019-12-06,24,Бурштинський острів,1102.98,671.38
2019-12-06,24,ОЕС України,652.29,397.05
2019-12-07,0,Бурштинський острів,1102.9765,671.377
2019-12-07,0,ОЕС України,652.2915,397.047
2019-12-07,1,Бурштинський острів,1102.9765,671.377
2019-12-07,1,ОЕС України,652.2915,397.047
2019-12-07,2,Бурштинський острів,1102.9765,671.377
2019-12-07,2,ОЕС України,652.2915,397.047
2019-12-07,3,Бурштинський острів,1102.9765,671.377
2019-12-07,3,ОЕС України,652.2915,397.047
2019-12-07,4,Бурштинський острів,1102.9765,671.377
2019-12-07,4,ОЕС України,652.2915,397.047
2019-12-07,5,Бурштинський острів,1102.9765,671.377
2019-12-07,5,ОЕС України,652.2915,397.047
2019-12-07,6,Бурштинський острів,1102.9765,671.377
2019-12-07,6,ОЕС України,652.2915,397.047
2019-12-07,7,Бурштинський острів,1102.9765,671.377
2019-12-07,7,ОЕС України,652.2915,397.047
2019-12-07,8,Бурштинський острів,1725,1050
2019-12-07,8,ОЕС України,918.85,559.3
2019-12-07,9,Бурштинський острів,1725,1050
2019-12-07,9,ОЕС України,918.85,559.3
2019-12-07,10,Бурштинський острів,1725,1050
2019-12-07,10,ОЕС України,918.85,559.3
2019-12-07,11,Бурштинський острів,1725,1050
2019-12-07,11,ОЕС України,918.85,559.3
2019-12-07,12,Бурштинський острів,1725,1050
2019-12-07,12,ОЕС України,918.85,559.3
2019-12-07,13,Бурштинський острів,1897.5,1155
2019-12-07,13,ОЕС України,918.85,559.3
2019-12-07,14,Бурштинський острів,1725,1050
2019-12-07,14,ОЕС України,918.85,559.3
2019-12-07,15,Бурштинський острів,1986.05,1208.9
2019-12-07,15,ОЕС України,918.85,559.3
2019-12-07,16,Бурштинський острів,1986.05,1208.9
2019-12-07,16,ОЕС України,1206.35,734.3
2019-12-07,17,Бурштинський острів,2190.359,1333.262
2019-12-07,17,ОЕС України,1252.35,762.3
2019-12-07,18,Бурштинський острів,2190.359,1333.262
2019-12-07,18,ОЕС України,1252.35,762.3
2019-12-07,19,Бурштинський острів,2190.359,1333.262
2019-12-07,19,ОЕС України,1206.35,734.3
2019-12-07,20,Бурштинський острів,2190.359,1333.262
2019-12-07,20,ОЕС України,1148.85,699.3
2019-12-07,21,Бурштинський острів,1782.5,1085
2019-12-07,21,ОЕС України,918.85,559.3
2019-12-07,22,Бурштинський острів,1725,1050
2019-12-07,22,ОЕС України,918.85,559.3
2019-12-07,23,Бурштинський острів,1102.9765,671.377
2019-12-07,23,ОЕС України,652.2915,397.047
2019-12-07,24,Бурштинський острів,1102.9765,671.377
2019-12-07,24,ОЕС України,652.2915,397.047
2019-12-08,0,Бурштинський острів,1102.9765,671.377
2019-12-08,0,ОЕС України,652.2915,397.047
2019-12-08,1,Бурштинський острів,1102.9765,671.377
2019-12-08,1,ОЕС України,652.2915,397.047
2019-12-08,2,Бурштинський острів,1102.9765,671.377
2019-12-08,2,ОЕС України,652.2915,397.047
2019-12-08,3,Бурштинський острів,1102.9765,671.377
2019-12-08,3,ОЕС України,652.2915,397.047
2019-12-08,4,Бурштинський острів,1102.9765,671.377
2019-12-08,4,ОЕС України,652.2915,397.047
2019-12-08,5,Бурштинський острів,1102.9765,671.377
2019-12-08,5,ОЕС України,652.2915,397.047
2019-12-08,6,Бурштинський острів,1102.9765,671.377
2019-12-08,6,ОЕС України,652.2915,397.047
2019-12-08,7,Бурштинський острів,1102.9765,671.377
2019-12-08,7,ОЕС України,652.2915,397.047
2019-12-08,8,Бурштинський острів,2355.4645,1433.761
2019-12-08,8,ОЕС України,918.85,559.3
2019-12-08,9,Бурштинський острів,2190.359,1333.262
2019-12-08,9,ОЕС України,918.85,559.3
2019-12-08,10,Бурштинський острів,2355.4645,1433.761
2019-12-08,10,ОЕС України,918.85,559.3
2019-12-08,11,Бурштинський острів,2190.359,1333.262
2019-12-08,11,ОЕС України,918.85,559.3
2019-12-08,12,Бурштинський острів,2190.359,1333.262
2019-12-08,12,ОЕС України,918.85,559.3
2019-12-08,13,Бурштинський острів,2190.359,1333.262
2019-12-08,13,ОЕС України,918.85,559.3
2019-12-08,14,Бурштинський острів,2355.4645,1433.761
2019-12-08,14,ОЕС України,918.85,559.3
2019-12-08,15,Бурштинський острів,2355.4645,1433.761
2019-12-08,15,ОЕС України,918.85,559.3
2019-12-08,16,Бурштинський острів,2355.4645,1433.761
2019-12-08,16,ОЕС України,918.85,559.3
2019-12-08,17,Бурштинський острів,2355.4645,1433.761
2019-12-08,17,ОЕС України,1206.35,734.3
2019-12-08,18,Бурштинський острів,2355.4645,1433.761
2019-12-08,18,ОЕС України,1206.35,734.3
2019-12-08,19,Бурштинський острів,2355.4645,1433.761
2019-12-08,19,ОЕС України,1206.35,734.3
2019-12-08,20,Бурштинський острів,2355.4645,1433.761
2019-12-08,20,ОЕС України,1148.85,699.3
2019-12-08,21,Бурштинський острів,2355.4645,1433.761
2019-12-08,21,ОЕС України,918.85,559.3
2019-12-08,22,Бурштинський острів,2190.359,1333.262
2019-12-08,22,ОЕС України,918.85,559.3
2019-12-08,23,Бурштинський острів,1102.9765,671.377
2019-12-08,23,ОЕС України,652.2915,397.047
2019-12-08,24,Бурштинський острів,1102.9765,671.377
2019-12-08,24,ОЕС України,652.2915,397.047
2019-12-09,0,Бурштинський острів,1102.9765,671.377
2019-12-09,0,ОЕС України,652.2915,397.047
2019-12-09,1,Бурштинський острів,1102.9765,671.377
2019-12-09,1,ОЕС України,652.2915,397.047
2019-12-09,2,Бурштинський острів,1102.9765,671.377
2019-12-09,2,ОЕС України,652.2915,397.047
2019-12-09,3,Бурштинський острів,1102.9765,671.377
2019-12-09,3,ОЕС України,652.2915,397.047
2019-12-09,4,Бурштинський острів,1102.9765,671.377
2019-12-09,4,ОЕС України,652.2915,397.047
2019-12-09,5,Бурштинський острів,1102.9765,671.377
2019-12-09,5,ОЕС України,652.2915,397.047
2019-12-09,6,Бурштинський острів,1102.9765,671.377
2019-12-09,6,ОЕС України,652.2915,397.047
2019-12-09,7,Бурштинський острів,1102.9765,671.377
2019-12-09,7,ОЕС України,655.569,399.042
2019-12-09,8,Бурштинський острів,2355.4645,1433.761
2019-12-09,8,ОЕС України,1348.674,820.932
2019-12-09,9,Бурштинський острів,2355.4645,1433.761
2019-12-09,9,ОЕС України,1436.35,874.3
2019-12-09,10,Бурштинський острів,2355.4645,1433.761
2019-12-09,10,ОЕС України,1322.5,805
2019-12-09,11,Бурштинський острів,2190.359,1333.262
2019-12-09,11,ОЕС України,1407.922,856.996
2019-12-09,12,Бурштинський острів,2190.359,1333.262
2019-12-09,12,ОЕС України,1230.73,749.14
2019-12-09,13,Бурштинський острів,2190.359,1333.262
2019-12-09,13,ОЕС України,1328.066,808.388
2019-12-09,14,Бурштинський острів,2190.359,1333.262
2019-12-09,14,ОЕС України,1396.33,849.94
2019-12-09,15,Бурштинський острів,2190.359,1333.262
2019-12-09,15,ОЕС України,1286.85,783.3
