country,hour,date,direction,volume_bm,price_bm_eur,price_bm_uah,price_marg_eur,price_marg_uah,price_dam_eur,price_dam_uah,volume_dam,rate
UA,0,2022-03-01,down,479.121,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,2106.9,33.1707
UA,0,2022-03-01,up,37.038,41.57192944375609,1378.97,41.57192944375609,1378.97,41.57192944375609,1378.97,2106.9,33.1707
UA,1,2022-03-01,down,482.438,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,1848.3,33.1707
UA,1,2022-03-01,up,56.8,41.57192944375609,1378.97,41.57192944375609,1378.97,41.57192944375609,1378.97,1848.3,33.1707
UA,2,2022-03-01,down,761.306,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,1769.7,33.1707
UA,2,2022-03-01,up,84.843,41.57192944375609,1378.97,41.57192944375609,1378.97,41.57192944375609,1378.97,1769.7,33.1707
UA,3,2022-03-01,down,729.696,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,1714.6,33.1707
UA,3,2022-03-01,up,89.97,41.57192944375609,1378.97,41.57192944375609,1378.97,41.57192944375609,1378.97,1714.6,33.1707
UA,4,2022-03-01,down,626.012,0.01236030593264537,0.41,0.01236030593264537,0.41,41.57192944375609,1378.97,1741.8,33.1707
UA,4,2022-03-01,up,151.287,69.33468392285964,2299.88,69.33468392285964,2299.88,41.57192944375609,1378.97,1741.8,33.1707
UA,5,2022-03-01,down,505.284,41.57192944375609,1378.97,41.57192944375609,1378.97,41.57192944375609,1378.97,1907.3,33.1707
UA,5,2022-03-01,up,459.753,69.33709568987089,2299.96,69.33709568987089,2299.96,41.57192944375609,1378.97,1907.3,33.1707
UA,6,2022-03-01,down,376,41.57192944375609,1378.97,0,0,41.57192944375609,1378.97,2426.4,33.1707
UA,6,2022-03-01,up,603.114,69.33739716074729,2299.97,69.33739716074729,2299.97,41.57192944375609,1378.97,2426.4,33.1707
UA,7,2022-03-01,down,339.701,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2547.1,33.1707
UA,7,2022-03-01,up,761.041,138.6756987341238,4599.97,138.6756987341238,4599.97,79.77673066893374,2646.25,2547.1,33.1707
UA,8,2022-03-01,down,235.87,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2998.1,33.1707
UA,8,2022-03-01,up,1229.904,138.6763016758766,4599.99,138.6763016758766,4599.99,79.77673066893374,2646.25,2998.1,33.1707
UA,9,2022-03-01,down,53.248,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2896.2,33.1707
UA,9,2022-03-01,up,1422.51,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,2896.2,33.1707
UA,10,2022-03-01,down,27.224,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2452.3,33.1707
UA,10,2022-03-01,up,1522.469,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,2452.3,33.1707
UA,11,2022-03-01,down,21.071,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2298,33.1707
UA,11,2022-03-01,up,1378.488,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,2298,33.1707
UA,12,2022-03-01,down,25.084,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2123,33.1707
UA,12,2022-03-01,up,1264.596,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,2123,33.1707
UA,13,2022-03-01,down,25.822,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2077.7,33.1707
UA,13,2022-03-01,up,1085.032,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,2077.7,33.1707
UA,14,2022-03-01,down,28.906,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,1981.5,33.1707
UA,14,2022-03-01,up,741.088,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,1981.5,33.1707
UA,15,2022-03-01,down,150.279,15.8724416427751,526.5,15.8724416427751,526.5,79.77673066893374,2646.25,2324.2,33.1707
UA,15,2022-03-01,up,720.908,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,2324.2,33.1707
UA,16,2022-03-01,down,152.2,15.8724416427751,526.5,15.8724416427751,526.5,79.77673066893374,2646.25,2815.8,33.1707
UA,16,2022-03-01,up,635.7,138.6756987341238,4599.97,138.6756987341238,4599.97,79.77673066893374,2646.25,2815.8,33.1707
UA,17,2022-03-01,down,51.095,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,3184.4,33.1707
UA,17,2022-03-01,up,507.815,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,3184.4,33.1707
UA,18,2022-03-01,down,106.037,15.872743113651508,526.51,15.872743113651508,526.51,79.77673066893374,2646.25,3501,33.1707
UA,18,2022-03-01,up,211.795,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,3501,33.1707
UA,19,2022-03-01,down,435.052,15.8724416427751,526.5,15.8724416427751,526.5,79.77673066893374,2646.25,3374.4,33.1707
UA,19,2022-03-01,up,301.536,138.67660314675302,4600,138.67660314675302,4600,79.77673066893374,2646.25,3374.4,33.1707
UA,20,2022-03-01,down,275.21,15.8724416427751,526.5,15.8724416427751,526.5,79.77673066893374,2646.25,3108.1,33.1707
UA,20,2022-03-01,up,153.981,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,3108.1,33.1707
UA,21,2022-03-01,down,549.741,10.315127507107178,342.16,10.315127507107178,342.16,79.77673066893374,2646.25,2741.8,33.1707
UA,21,2022-03-01,up,196.834,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2741.8,33.1707
UA,22,2022-03-01,down,824.072,0.00241176701124787,0.08,0.00241176701124787,0.08,79.77673066893374,2646.25,2205.1,33.1707
UA,22,2022-03-01,up,225.882,79.77673066893374,2646.25,79.77673066893374,2646.25,79.77673066893374,2646.25,2205.1,33.1707
UA,23,2022-03-01,down,826.069,9.044126292179544e-4,0.03,9.044126292179544e-4,0.03,41.57192944375609,1378.97,2289.4,33.1707
UA,23,2022-03-01,up,635.182,69.33830157337651,2300,69.33830157337651,2300,41.57192944375609,1378.97,2289.4,33.1707
UA,0,2022-03-02,down,372,0.00241176701124787,0.08,0.00241176701124787,0.08,41.57192944375609,1378.97,1778.8,33.1707
UA,0,2022-03-02,up,394.353,69.33588980636526,2299.92,69.33588980636526,2299.92,41.57192944375609,1378.97,1778.8,33.1707
UA,1,2022-03-02,down,467.449,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,1539.6,33.1707
UA,1,2022-03-02,up,277.221,69.33528686461246,2299.9,69.33528686461246,2299.9,41.57192944375609,1378.97,1539.6,33.1707
UA,2,2022-03-02,down,475,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,1437.3,33.1707
UA,2,2022-03-02,up,235.424,69.33558833548885,2299.91,69.33558833548885,2299.91,41.57192944375609,1378.97,1437.3,33.1707
UA,3,2022-03-02,down,462.208,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,1373,33.1707
UA,3,2022-03-02,up,169.631,69.33528686461246,2299.9,69.33528686461246,2299.9,41.57192944375609,1378.97,1373,33.1707
UA,4,2022-03-02,down,485.88,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,1397.9,33.1707
UA,4,2022-03-02,up,199.64,69.33528686461246,2299.9,69.33528686461246,2299.9,41.57192944375609,1378.97,1397.9,33.1707
UA,5,2022-03-02,down,455.608,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,1573.9,33.1707
UA,5,2022-03-02,up,223.755,65.61302595362775,2176.43,69.33528686461246,2299.9,41.57192944375609,1378.97,1573.9,33.1707
UA,6,2022-03-02,down,510,3.014708764059848e-4,0.01,3.014708764059848e-4,0.01,41.57192944375609,1378.97,2012.6,33.1707
UA,6,2022-03-02,up,503.892,57.59993005875669,1910.63,69.33588980636526,2299.92,41.57192944375609,1378.97,2012.6,33.1707
