date,country,direction,spread_wave,spread_ave,activation_share,revenue_per_mw
2022-02-04T00:00:00Z,Poland,DOWN,NA,21.10774804383723,NA,NA
2022-02-04T00:00:00Z,Poland,UP,NA,-21.10774804383723,NA,NA
2022-02-05T00:00:00Z,Poland,DOWN,NA,-10.677952948518994,NA,NA
2022-02-05T00:00:00Z,Poland,UP,NA,10.677952948518994,NA,NA
2022-02-06T00:00:00Z,Poland,DOWN,NA,20.67637233486289,NA,NA
2022-02-06T00:00:00Z,Poland,UP,NA,-20.67637233486289,NA,NA
2022-02-07T00:00:00Z,Poland,DOWN,NA,-10.590646965600824,NA,NA
2022-02-07T00:00:00Z,Poland,UP,NA,10.590646965600824,NA,NA
2022-02-08T00:00:00Z,Poland,DOWN,NA,12.55366092064715,NA,NA
2022-02-08T00:00:00Z,Poland,UP,NA,-12.55366092064715,NA,NA
2022-02-09T00:00:00Z,Poland,DOWN,NA,7.751297330231516,NA,NA
2022-02-09T00:00:00Z,Poland,UP,NA,-7.751297330231516,NA,NA
2022-02-10T00:00:00Z,Poland,DOWN,NA,5.625594420349536,NA,NA
2022-02-10T00:00:00Z,Poland,UP,NA,-5.625594420349536,NA,NA
2022-02-11T00:00:00Z,Poland,DOWN,NA,-9.642334306698508,NA,NA
2022-02-11T00:00:00Z,Poland,UP,NA,9.642334306698508,NA,NA
2022-02-12T00:00:00Z,Poland,DOWN,NA,18.159966079697973,NA,NA
2022-02-12T00:00:00Z,Poland,UP,NA,-18.159966079697973,NA,NA
2022-02-13T00:00:00Z,Poland,DOWN,NA,-7.38790046737617,NA,NA
2022-02-13T00:00:00Z,Poland,UP,NA,7.38790046737617,NA,NA
2022-02-14T00:00:00Z,Poland,DOWN,NA,0.9644723233097096,NA,NA
2022-02-14T00:00:00Z,Poland,UP,NA,-0.9644723233097096,NA,NA
2022-02-15T00:00:00Z,Poland,DOWN,NA,4.387545640255464,NA,NA
2022-02-15T00:00:00Z,Poland,UP,NA,-4.387545640255464,NA,NA
2022-02-16T00:00:00Z,Poland,DOWN,NA,-5.146982234845073,NA,NA
2022-02-16T00:00:00Z,Poland,UP,NA,5.146982234845073,NA,NA
2022-02-17T00:00:00Z,Poland,DOWN,NA,-3.08541245978032,NA,NA
2022-02-17T00:00:00Z,Poland,UP,NA,3.08541245978032,NA,NA
2022-02-18T00:00:00Z,Poland,DOWN,NA,-2.8314649565275056,NA,NA
2022-02-18T00:00:00Z,Poland,UP,NA,2.8314649565275056,NA,NA
2022-02-19T00:00:00Z,Poland,DOWN,NA,-19.626140793345275,NA,NA
2022-02-19T00:00:00Z,Poland,UP,NA,19.626140793345275,NA,NA
2022-02-20T00:00:00Z,Poland,DOWN,NA,-3.4147508471821006,NA,NA
2022-02-20T00:00:00Z,Poland,UP,NA,3.4147508471821006,NA,NA
2022-02-21T00:00:00Z,Poland,DOWN,NA,-0.936210180475336,NA,NA
2022-02-21T00:00:00Z,Poland,UP,NA,0.936210180475336,NA,NA
2022-02-22T00:00:00Z,Poland,DOWN,NA,-1.082978875445716,NA,NA
2022-02-22T00:00:00Z,Poland,UP,NA,1.082978875445716,NA,NA
2022-02-23T00:00:00Z,Poland,DOWN,NA,1.927848457911776,NA,NA
2022-02-23T00:00:00Z,Poland,UP,NA,-1.927848457911776,NA,NA
2022-02-24T00:00:00Z,Poland,DOWN,NA,6.264467031443449,NA,NA
2022-02-24T00:00:00Z,Poland,UP,NA,-6.264467031443449,NA,NA
2022-02-25T00:00:00Z,Poland,DOWN,NA,0.7193119068671678,NA,NA
2022-02-25T00:00:00Z,Poland,UP,NA,-0.7193119068671678,NA,NA
2022-02-26T00:00:00Z,Poland,DOWN,NA,0.15753001815359535,NA,NA
2022-02-26T00:00:00Z,Poland,UP,NA,-0.15753001815359535,NA,NA
2022-02-27T00:00:00Z,Poland,DOWN,NA,10.870395738532201,NA,NA
2022-02-27T00:00:00Z,Poland,UP,NA,-10.870395738532201,NA,NA
