country,date,price_uah,price_eur
UA,2022-01-01,2723.40189389924,88.07156881695718
UA,2022-01-02,2866.933423770769,92.71320729080895
UA,2022-01-03,2819.958359042294,91.1940897286222
UA,2022-01-04,2977.4789063189482,96.2881163394717
UA,2022-01-05,2758.5437932333843,89.63907055112884
UA,2022-01-06,3175.8572435233878,102.30806690022217
UA,2022-01-07,2857.8796852717182,92.06463754938352
UA,2022-01-08,3084.936917257106,99.37913083383877
UA,2022-01-09,3022.255806716623,97.35990176942352
UA,2022-01-10,3189.8632780203766,102.53662958325839
UA,2022-01-11,2856.3554463993587,91.79699982000767
UA,2022-01-12,3010.5039984071013,96.57656496516451
UA,2022-01-13,3286.301622445845,104.39464359286157
UA,2022-01-14,3085.8012762887442,97.09487265432011
UA,2022-01-15,2498.3327578584103,78.6101499264791
UA,2022-01-16,2680.664337639113,84.3472210903617
UA,2022-01-17,3103.5092531812816,97.01801410426339
UA,2022-01-18,2853.244670412976,89.00341167373132
UA,2022-01-19,2799.9552074385665,86.57709527462589
UA,2022-01-20,2806.4654041576127,87.17274188777554
UA,2022-01-21,2985.725208511,92.97067101704205
UA,2022-01-22,2868.522988051392,89.32118276214293
UA,2022-01-23,2710.6029902662253,84.40380854456761
UA,2022-01-24,2869.6475921868123,89.36955867775397
UA,2022-01-25,2567.2906596269845,80.07918612410042
UA,2022-01-26,3262.380187806575,100.99591629666723
UA,2022-01-27,2637.8264711621573,81.2131190648534
UA,2022-01-28,2514.686912568617,77.75009623564202
UA,2022-01-29,2373.875544527988,73.39643401172387
UA,2022-01-30,2215.108186117188,68.48760129230219
UA,2022-01-31,2456.2923712717775,76.68891831141417
UA,2022-02-01,2796.8860839162035,88.10088967304019
UA,2022-02-02,2553.677108344432,80.08395478931972
UA,2022-02-03,2368.1281676014123,73.67729249364264
UA,2022-02-04,2130.1853940358187,66.73554953464053
UA,2022-02-05,1758.825748646451,55.1014025353057
UA,2022-02-06,1702.4587092421516,53.33550677767879
UA,2022-02-07,1797.2451010888658,55.686226001607004
UA,2022-02-08,2202.2225864636507,68.66410329328802
UA,2022-02-09,1971.0547900038355,61.739198759732346
UA,2022-02-10,2339.0372849560886,73.10405316152294
UA,2022-02-11,1839.644077535179,57.70798743777714
UA,2022-02-12,1978.8539075476642,62.07487515245898
UA,2022-02-13,2006.9918679367725,62.95753777426079
UA,2022-02-14,2076.248623497834,64.92801619559364
UA,2022-02-15,2110.106390182885,65.27501949437254
UA,2022-02-16,2094.6613523286937,65.40032884444987
UA,2022-02-17,2097.076212973847,65.67318717818635
UA,2022-02-18,2131.0875070288926,66.18921408672551
UA,2022-02-19,2018.378223286353,62.6885887550153
UA,2022-02-20,2007.9408169183755,62.364414490785606
UA,2022-02-21,2125.187431222908,66.00780939318263
UA,2022-02-22,2170.850359173538,67.23251041923454
UA,2022-02-23,2455.012945091458,74.61160972077653
UA,2022-02-24,2381.7960404580836,71.8042139737203
UA,2022-02-25,2635.0723146981086,79.43975601051858
UA,2022-02-26,1557.426169877089,46.951863237046226
UA,2022-02-27,990.2803843663049,29.854069536256542
UA,2022-02-28,2411.7517496169735,72.70729136306963
UA,2022-03-01,2303.488790480053,69.44347844573836
UA,2022-03-02,2331.9259087285245,70.30077474182109
UA,2022-03-03,2358.4598763380773,71.1006965887991
UA,2022-03-04,2379.9507818308593,71.74858480016579
UA,2022-03-05,2356.717315809407,71.04816346382222
UA,2022-03-06,2314.3641052582448,69.7713375134756
UA,2022-03-07,2340.4979475982527,70.5591967488854
UA,2022-03-08,2339.563860176019,70.53103673350334
UA,2022-03-09,2318.7963503595997,69.90495679499075
UA,2022-03-10,2346.668013278929,70.745206259709
UA,2022-03-11,2333.9469651069203,70.36170370558717
UA,2022-03-12,2225.6416894155327,67.09661506737973
UA,2022-03-13,2309.5245462713387,69.62543890455551
UA,2022-03-14,2303.075241147892,69.431011137778
UA,2022-03-15,2254.6278592110098,67.97046366856924
UA,2022-03-16,2285.3995751043158,68.89814128445633
UA,2022-03-17,2263.024349819004,68.22359340680191
UA,2022-03-18,2256.537946810523,68.02804724683298
UA,2022-03-19,2247.645722956327,67.75997259498074
UA,2022-03-20,2249.930620155039,67.82885559108006
UA,2022-03-21,2284.4299471958107,68.86890982691986
UA,2022-03-22,2279.7826633165832,68.72880775252206
UA,2022-03-23,2268.1709879613545,70.36470204164341
UA,2022-03-24,2273.3923476559817,70.73845129304816
UA,2022-03-25,2273.510564487036,70.77450213667451
UA,2022-03-26,2251.8265869730894,70.09947878870135
UA,2022-03-27,2305.3727083039166,71.76637233110908
UA,2022-03-28,2282.187794191667,70.88948717110438
UA,2022-03-29,2255.0337732884104,70.31445441753407
UA,2022-03-30,2274.1003883177264,70.14130623371773
UA,2022-03-31,2296.949705358005,70.48971648083833
UA,2022-04-01,2314.315332273223,71.25947453369655
UA,2022-04-02,2308.2147226101915,71.07163226654282
UA,2022-04-03,2318.156831898565,71.3777571380184
UA,2022-04-04,2353.5937139730027,72.8033417977859
UA,2022-04-05,2376.939669565217,73.87306282835708
UA,2022-04-06,2370.1153926949924,73.88255405149681
UA,2022-04-07,2340.5764328506557,73.28936322377045
UA,2022-04-08,2355.2750578890086,73.7766428778304
UA,2022-04-09,2369.125198626416,74.21048472724361
UA,2022-04-10,2322.183013436428,72.74006757954507
UA,2022-04-11,2313.3099498016354,72.79229284829373
UA,2022-04-12,2295.7952255377713,71.97933311400372
UA,2022-04-13,2348.660799397852,73.91490216891953
UA,2022-04-14,2290.137170147481,72.27280149672997
UA,2022-04-15,2343.3076999707,73.69888695549083
